"Date and Time","SO2","PM10","PM2.5"
"2021-05-01T01:00:00Z",34.23,13.8,11.2
"2021-05-01T02:00:00Z",25.18,10.91,8.26
"2021-05-01T03:00:00Z",11.44,6.98,5.1
"2021-05-01T04:00:00Z",11.46,6.17,4.14
"2021-05-01T05:00:00Z",7.17,5.78,4.06
"2021-05-01T06:00:00Z",6,5.81,4.09
"2021-05-01T07:00:00Z",5.68,6.7,4.54
"2021-05-01T08:00:00Z",8.26,6.26,4.13
"2021-05-01T09:00:00Z",5.21,7.52,4.73
"2021-05-01T10:00:00Z",3.97,4.96,2.79
"2021-05-01T11:00:00Z",3.44,7.15,4.12
"2021-05-01T12:00:00Z",2.77,6.37,3.33
"2021-05-01T13:00:00Z",2.97,5.36,3.82
"2021-05-01T14:00:00Z",4.05,8.01,6.05
"2021-05-01T15:00:00Z",5.96,11.76,8.51
"2021-05-01T16:00:00Z",7.12,8.24,6.55
"2021-05-01T17:00:00Z",8.36,8.89,7.68
"2021-05-01T18:00:00Z",14.99,16.28,13.11
"2021-05-01T19:00:00Z",23.58,14.9,13.28
"2021-05-01T20:00:00Z",45.91,24.87,22.35
"2021-05-01T21:00:00Z",135.69,71.22,67.68
"2021-05-01T22:00:00Z",101.06,79.89,76.02
"2021-05-01T23:00:00Z",52.98,22.56,20.79
"2021-05-02T00:00:00Z",83.89,50.93,48.63
"2021-05-02T01:00:00Z",18.71,6.41,5.23
"2021-05-02T02:00:00Z",17.13,4.52,3.55
"2021-05-02T03:00:00Z",14.05,4.22,3.29
"2021-05-02T04:00:00Z",11.94,3.78,3.05
"2021-05-02T05:00:00Z",9.94,3.14,2.14
"2021-05-02T06:00:00Z",7.44,3.29,1.85
"2021-05-02T07:00:00Z",6.26,2.75,1.83
"2021-05-02T08:00:00Z",7.78,3.34,2.61
"2021-05-02T09:00:00Z",4.82,2.96,2.04
"2021-05-02T10:00:00Z",4.15,3.36,2.34
"2021-05-02T11:00:00Z",3.99,2.95,2.22
"2021-05-02T12:00:00Z",2.78,2.78,2.23
"2021-05-02T13:00:00Z",3.81,4.98,4.09
"2021-05-02T14:00:00Z",2.48,4.86,3.6
"2021-05-02T15:00:00Z",5.65,8.27,6.72
"2021-05-02T16:00:00Z",4.45,14.2,12.66
"2021-05-02T17:00:00Z",6.05,9.89,7.74
"2021-05-02T18:00:00Z",8.19,9.08,7.41
"2021-05-02T19:00:00Z",5.33,7.99,6.18
"2021-05-02T20:00:00Z",19.79,9.73,7.69
"2021-05-02T21:00:00Z",24.72,15.22,13.22
"2021-05-02T22:00:00Z",23.81,11.14,9.76
"2021-05-02T23:00:00Z",14.66,7.45,6.33
"2021-05-03T00:00:00Z",10.9,5.3,4.42
"2021-05-03T01:00:00Z",5.02,2.98,2.45
"2021-05-03T02:00:00Z",3.26,3.37,2.49
"2021-05-03T03:00:00Z",2.85,3.5,2.88
"2021-05-03T04:00:00Z",2.6,3.89,3.02
"2021-05-03T05:00:00Z",2.07,3.39,2.35
