"Date and Time","NO2","SO2","CO","PM10","PM2.5"
"2021-05-01T01:00:00Z",22.25,3.61,0.32,26.23,22.33
"2021-05-01T02:00:00Z",16.09,4.2,0.3,27.41,23.75
"2021-05-01T03:00:00Z",30.13,2.24,0.25,25.63,21.25
"2021-05-01T04:00:00Z",19.95,1.62,0.18,23.93,20.04
"2021-05-01T05:00:00Z",13.48,1.39,0.12,22.42,18.87
"2021-05-01T06:00:00Z",15.96,1.73,0.17,20.14,17.03
"2021-05-01T07:00:00Z",13.88,1.82,0.19,21.41,18.25
"2021-05-01T08:00:00Z",16.13,1.64,0.12,18.79,15.1
"2021-05-01T09:00:00Z",6.93,2.15,0.11,16.2,12.9
"2021-05-01T10:00:00Z",4.52,2.47,0.1,11.42,7.94
"2021-05-01T11:00:00Z",4,2.01,0.14,8.37,5.72
"2021-05-01T12:00:00Z",4.87,1.88,0.19,6.88,4.64
"2021-05-01T13:00:00Z",5.71,1.41,0.2,6.49,4.67
"2021-05-01T14:00:00Z",8.42,1.84,0.21,8.72,6.25
"2021-05-01T15:00:00Z",3.75,1.22,0.15,7.74,5.31
"2021-05-01T16:00:00Z",3.53,1.39,0.15,7.32,4.69
"2021-05-01T17:00:00Z",3.64,1.56,0.15,8.28,5.78
"2021-05-01T18:00:00Z",5.41,1.73,0.16,9.08,6.83
"2021-05-01T19:00:00Z",15.29,6.21,0.23,19.23,15.3
"2021-05-01T20:00:00Z",9.51,3.81,0.19,14.98,11.84
"2021-05-01T21:00:00Z",10.76,2.33,0.16,14.33,11
"2021-05-01T22:00:00Z",7.72,2.62,0.18,13.58,11.39
"2021-05-01T23:00:00Z",5.33,2.54,0.16,8.27,7.38
"2021-05-02T00:00:00Z",4.64,1.92,0.14,7.75,6.97
"2021-05-02T01:00:00Z",3.28,1.57,0.13,8.2,7.4
"2021-05-02T02:00:00Z",4.61,1.4,0.11,9.03,8.05
"2021-05-02T03:00:00Z",4.41,1.37,0.13,9.94,8.55
"2021-05-02T04:00:00Z",3.71,1.14,0.1,10.65,9.29
"2021-05-02T05:00:00Z",4.22,1.21,0.1,11.92,10.6
"2021-05-02T06:00:00Z",3.69,1.12,0.08,12.42,11.05
"2021-05-02T07:00:00Z",3.73,1.37,0.08,12.29,10.37
"2021-05-02T08:00:00Z",2.81,1.52,0.09,12.36,10.42
